doc_id,primary_label_id,score,sample_text,annotator_notes
ANN.EVT.RALLY-3-02,ANN.EVT.RALLY,3,"CLEVELAND — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.

Doors open at 2:15 PM; ASL provided; media check-in on Lakeside Ave.

RSVP at https://janesmithforcongress.org/rsvp/cleveland-rally.",Adequate but generic; some specifics missing; CTA/evidence may be weak or one is missing.
ANN.EVT.RALLY-3-03,ANN.EVT.RALLY,3,"CLEVELAND — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.

RSVP at https://janesmithforcongress.org/rsvp/cleveland-rally.",Adequate but generic; some specifics missing; CTA/evidence may be weak or one is missing.
ANN.EVT.RALLY-3-04,ANN.EVT.RALLY,3,"CLEVELAND — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.

RSVP at https://janesmithforcongress.org/rsvp/cleveland-rally.",Adequate but generic; some specifics missing; CTA/evidence may be weak or one is missing.
ANN.EVT.RALLY-3-05,ANN.EVT.RALLY,3,"OH-11 — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.

Doors open at 2:15 PM; ASL provided; media check-in on Lakeside Ave.

RSVP at https://janesmithforcongress.org/rsvp/cleveland-rally.",Adequate but generic; some specifics missing; CTA/evidence may be weak or one is missing.
ANN.EVT.RALLY-2-01,ANN.EVT.RALLY,2,"OH-11 — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.

RSVP at https://janesmithforcongress.org/rsvp/cleveland-rally.",Vague or disorganized; lacks key details; missing evidence/CTA; tone drifts or includes minor contradictions.
ANN.EVT.RALLY-2-02,ANN.EVT.RALLY,2,"CLEVELAND — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.

RSVP at https://janesmithforcongress.org/rsvp/cleveland-rally.",Vague or disorganized; lacks key details; missing evidence/CTA; tone drifts or includes minor contradictions.
ANN.EVT.RALLY-2-03,ANN.EVT.RALLY,2,"CLEVELAND — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.

RSVP at https://janesmithforcongress.org/rsvp/cleveland-rally.",Vague or disorganized; lacks key details; missing evidence/CTA; tone drifts or includes minor contradictions.
ANN.EVT.RALLY-2-04,ANN.EVT.RALLY,2,"CLEVELAND — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.

RSVP at https://janesmithforcongress.org/rsvp/cleveland-rally.",Vague or disorganized; lacks key details; missing evidence/CTA; tone drifts or includes minor contradictions.
ANN.EVT.RALLY-2-05,ANN.EVT.RALLY,2,"OH-11 — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.

RSVP at https://janesmithforcongress.org/rsvp/cleveland-rally.",Vague or disorganized; lacks key details; missing evidence/CTA; tone drifts or includes minor contradictions.
ANN.EVT.RALLY-1-01,ANN.EVT.RALLY,1,"CLEVELAND — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.",Poor quality; misleading or unsupported claims; significant errors; missing core info.
ANN.EVT.RALLY-1-02,ANN.EVT.RALLY,1,"CLEVELAND — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.",Poor quality; misleading or unsupported claims; significant errors; missing core info.
ANN.EVT.RALLY-1-03,ANN.EVT.RALLY,1,"CLEVELAND — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.",Poor quality; misleading or unsupported claims; significant errors; missing core info.
ANN.EVT.RALLY-1-04,ANN.EVT.RALLY,1,"OH-11 — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.",Poor quality; misleading or unsupported claims; significant errors; missing core info.
ANN.EVT.RALLY-1-05,ANN.EVT.RALLY,1,"CLEVELAND — Jane Smith will headline a grassroots rally this Saturday at Mall B, 3:00 PM, launching the Good Jobs Tour with local union leaders.",Poor quality; misleading or unsupported claims; significant errors; missing core info.
ANN.EVT.TOWN-5-01,ANN.EVT.TOWN,5,"OH-11 — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.

Constituents are encouraged to submit questions in advance; Spanish interpretation available.

Reserve a seat at https://janesmithforcongress.org/events/town-hall.","Clear, specific, well-structured; evidence and CTA included; neutral but persuasive tone; error-free; dates/locations precise."
ANN.EVT.TOWN-5-02,ANN.EVT.TOWN,5,"CLEVELAND — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.

Constituents are encouraged to submit questions in advance; Spanish interpretation available.

Reserve a seat at https://janesmithforcongress.org/events/town-hall.","Clear, specific, well-structured; evidence and CTA included; neutral but persuasive tone; error-free; dates/locations precise."
ANN.EVT.TOWN-5-03,ANN.EVT.TOWN,5,"CLEVELAND — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.

Constituents are encouraged to submit questions in advance; Spanish interpretation available.

Reserve a seat at https://janesmithforcongress.org/events/town-hall.","Clear, specific, well-structured; evidence and CTA included; neutral but persuasive tone; error-free; dates/locations precise."
ANN.EVT.TOWN-5-04,ANN.EVT.TOWN,5,"OH-11 — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.

Constituents are encouraged to submit questions in advance; Spanish interpretation available.

Reserve a seat at https://janesmithforcongress.org/events/town-hall.","Clear, specific, well-structured; evidence and CTA included; neutral but persuasive tone; error-free; dates/locations precise."
ANN.EVT.TOWN-5-05,ANN.EVT.TOWN,5,"CLEVELAND — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.

Constituents are encouraged to submit questions in advance; Spanish interpretation available.

Reserve a seat at https://janesmithforcongress.org/events/town-hall.","Clear, specific, well-structured; evidence and CTA included; neutral but persuasive tone; error-free; dates/locations precise."
ANN.EVT.TOWN-4-01,ANN.EVT.TOWN,4,"CLEVELAND — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.

Constituents are encouraged to submit questions in advance; Spanish interpretation available.

Reserve a seat at https://janesmithforcongress.org/events/town-hall.",Strong with minor omissions or slight verbosity; evidence present; minor copy edits needed.
ANN.EVT.TOWN-4-02,ANN.EVT.TOWN,4,"OH-11 — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.

Constituents are encouraged to submit questions in advance; Spanish interpretation available.

Reserve a seat at https://janesmithforcongress.org/events/town-hall.",Strong with minor omissions or slight verbosity; evidence present; minor copy edits needed.
ANN.EVT.TOWN-4-03,ANN.EVT.TOWN,4,"CLEVELAND — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.

Constituents are encouraged to submit questions in advance; Spanish interpretation available.

Reserve a seat at https://janesmithforcongress.org/events/town-hall.",Strong with minor omissions or slight verbosity; evidence present; minor copy edits needed.
ANN.EVT.TOWN-4-04,ANN.EVT.TOWN,4,"OH-11 — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.

Constituents are encouraged to submit questions in advance; Spanish interpretation available.

Reserve a seat at https://janesmithforcongress.org/events/town-hall.",Strong with minor omissions or slight verbosity; evidence present; minor copy edits needed.
ANN.EVT.TOWN-4-05,ANN.EVT.TOWN,4,"CLEVELAND — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.

Constituents are encouraged to submit questions in advance; Spanish interpretation available.

Reserve a seat at https://janesmithforcongress.org/events/town-hall.",Strong with minor omissions or slight verbosity; evidence present; minor copy edits needed.
ANN.EVT.TOWN-3-01,ANN.EVT.TOWN,3,"CLEVELAND — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.

Constituents are encouraged to submit questions in advance; Spanish interpretation available.

Reserve a seat at https://janesmithforcongress.org/events/town-hall.",Adequate but generic; some specifics missing; CTA/evidence may be weak or one is missing.
ANN.EVT.TOWN-3-02,ANN.EVT.TOWN,3,"CLEVELAND — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.

Constituents are encouraged to submit questions in advance; Spanish interpretation available.

Reserve a seat at https://janesmithforcongress.org/events/town-hall.",Adequate but generic; some specifics missing; CTA/evidence may be weak or one is missing.
ANN.EVT.TOWN-3-03,ANN.EVT.TOWN,3,"CLEVELAND — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.

Constituents are encouraged to submit questions in advance; Spanish interpretation available.

Reserve a seat at https://janesmithforcongress.org/events/town-hall.",Adequate but generic; some specifics missing; CTA/evidence may be weak or one is missing.
ANN.EVT.TOWN-3-04,ANN.EVT.TOWN,3,"CLEVELAND — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.

Constituents are encouraged to submit questions in advance; Spanish interpretation available.

Reserve a seat at https://janesmithforcongress.org/events/town-hall.",Adequate but generic; some specifics missing; CTA/evidence may be weak or one is missing.
ANN.EVT.TOWN-3-05,ANN.EVT.TOWN,3,"CLEVELAND — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.

Constituents are encouraged to submit questions in advance; Spanish interpretation available.

Reserve a seat at https://janesmithforcongress.org/events/town-hall.",Adequate but generic; some specifics missing; CTA/evidence may be weak or one is missing.
ANN.EVT.TOWN-2-01,ANN.EVT.TOWN,2,"CLEVELAND — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.

Reserve a seat at https://janesmithforcongress.org/events/town-hall.",Vague or disorganized; lacks key details; missing evidence/CTA; tone drifts or includes minor contradictions.
ANN.EVT.TOWN-2-02,ANN.EVT.TOWN,2,"CLEVELAND — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.

Reserve a seat at https://janesmithforcongress.org/events/town-hall.",Vague or disorganized; lacks key details; missing evidence/CTA; tone drifts or includes minor contradictions.
ANN.EVT.TOWN-2-03,ANN.EVT.TOWN,2,"CLEVELAND — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.

Reserve a seat at https://janesmithforcongress.org/events/town-hall.",Vague or disorganized; lacks key details; missing evidence/CTA; tone drifts or includes minor contradictions.
ANN.EVT.TOWN-2-04,ANN.EVT.TOWN,2,"OH-11 — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.

Reserve a seat at https://janesmithforcongress.org/events/town-hall.",Vague or disorganized; lacks key details; missing evidence/CTA; tone drifts or includes minor contradictions.
ANN.EVT.TOWN-2-05,ANN.EVT.TOWN,2,"CLEVELAND — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.

Reserve a seat at https://janesmithforcongress.org/events/town-hall.",Vague or disorganized; lacks key details; missing evidence/CTA; tone drifts or includes minor contradictions.
ANN.EVT.TOWN-1-01,ANN.EVT.TOWN,1,"CLEVELAND — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.",Poor quality; misleading or unsupported claims; significant errors; missing core info.
ANN.EVT.TOWN-1-02,ANN.EVT.TOWN,1,"CLEVELAND — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.",Poor quality; misleading or unsupported claims; significant errors; missing core info.
ANN.EVT.TOWN-1-03,ANN.EVT.TOWN,1,"CLEVELAND — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.",Poor quality; misleading or unsupported claims; significant errors; missing core info.
ANN.EVT.TOWN-1-04,ANN.EVT.TOWN,1,"CLEVELAND — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.",Poor quality; misleading or unsupported claims; significant errors; missing core info.
ANN.EVT.TOWN-1-05,ANN.EVT.TOWN,1,"CLEVELAND — Jane Smith will host a town hall focused on healthcare and prescription costs at Glenville Rec Center, Tuesday 6:30 PM.",Poor quality; misleading or unsupported claims; significant errors; missing core info.
ANN.MIL.POLL-5-01,ANN.MIL.POLL,5,"OH-11 — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.7%).

The momentum reflects strong support for clean energy jobs and protecting reproductive freedom.","Clear, specific, well-structured; evidence and CTA included; neutral but persuasive tone; error-free; dates/locations precise."
ANN.MIL.POLL-5-02,ANN.MIL.POLL,5,"CLEVELAND — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.7%).

The momentum reflects strong support for clean energy jobs and protecting reproductive freedom.","Clear, specific, well-structured; evidence and CTA included; neutral but persuasive tone; error-free; dates/locations precise."
ANN.MIL.POLL-5-03,ANN.MIL.POLL,5,"CLEVELAND — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.7%).

The momentum reflects strong support for clean energy jobs and protecting reproductive freedom.","Clear, specific, well-structured; evidence and CTA included; neutral but persuasive tone; error-free; dates/locations precise."
ANN.MIL.POLL-5-04,ANN.MIL.POLL,5,"CLEVELAND — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.7%).

The momentum reflects strong support for clean energy jobs and protecting reproductive freedom.","Clear, specific, well-structured; evidence and CTA included; neutral but persuasive tone; error-free; dates/locations precise."
ANN.MIL.POLL-5-05,ANN.MIL.POLL,5,"OH-11 — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.7%).

The momentum reflects strong support for clean energy jobs and protecting reproductive freedom.","Clear, specific, well-structured; evidence and CTA included; neutral but persuasive tone; error-free; dates/locations precise."
ANN.MIL.POLL-4-01,ANN.MIL.POLL,4,"CLEVELAND — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.7%).

The momentum reflects strong support for clean energy jobs and protecting reproductive freedom.",Strong with minor omissions or slight verbosity; evidence present; minor copy edits needed.
ANN.MIL.POLL-4-02,ANN.MIL.POLL,4,"CLEVELAND — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.7%).

The momentum reflects strong support for clean energy jobs and protecting reproductive freedom.",Strong with minor omissions or slight verbosity; evidence present; minor copy edits needed.
ANN.MIL.POLL-4-03,ANN.MIL.POLL,4,"CLEVELAND — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.7%).

The momentum reflects strong support for clean energy jobs and protecting reproductive freedom.",Strong with minor omissions or slight verbosity; evidence present; minor copy edits needed.
ANN.MIL.POLL-4-04,ANN.MIL.POLL,4,"CLEVELAND — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.7%).

The momentum reflects strong support for clean energy jobs and protecting reproductive freedom.",Strong with minor omissions or slight verbosity; evidence present; minor copy edits needed.
ANN.MIL.POLL-4-05,ANN.MIL.POLL,4,"CLEVELAND — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.7%).

The momentum reflects strong support for clean energy jobs and protecting reproductive freedom.",Strong with minor omissions or slight verbosity; evidence present; minor copy edits needed.
ANN.MIL.POLL-3-01,ANN.MIL.POLL,3,"CLEVELAND — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.7%).",Adequate but generic; some specifics missing; CTA/evidence may be weak or one is missing.
ANN.MIL.POLL-3-02,ANN.MIL.POLL,3,"OH-11 — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.7%).

The momentum reflects strong support for clean energy jobs and protecting reproductive freedom.",Adequate but generic; some specifics missing; CTA/evidence may be weak or one is missing.
ANN.MIL.POLL-3-03,ANN.MIL.POLL,3,"CLEVELAND — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.7%).

The momentum reflects strong support for clean energy jobs and protecting reproductive freedom.",Adequate but generic; some specifics missing; CTA/evidence may be weak or one is missing.
ANN.MIL.POLL-3-04,ANN.MIL.POLL,3,"OH-11 — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.7%).

The momentum reflects strong support for clean energy jobs and protecting reproductive freedom.",Adequate but generic; some specifics missing; CTA/evidence may be weak or one is missing.
ANN.MIL.POLL-3-05,ANN.MIL.POLL,3,"CLEVELAND — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.7%).

The momentum reflects strong support for clean energy jobs and protecting reproductive freedom.",Adequate but generic; some specifics missing; CTA/evidence may be weak or one is missing.
ANN.MIL.POLL-2-01,ANN.MIL.POLL,2,"CLEVELAND — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.",Vague or disorganized; lacks key details; missing evidence/CTA; tone drifts or includes minor contradictions.
ANN.MIL.POLL-2-02,ANN.MIL.POLL,2,"CLEVELAND — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.",Vague or disorganized; lacks key details; missing evidence/CTA; tone drifts or includes minor contradictions.
ANN.MIL.POLL-2-03,ANN.MIL.POLL,2,"CLEVELAND — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.",Vague or disorganized; lacks key details; missing evidence/CTA; tone drifts or includes minor contradictions.
ANN.MIL.POLL-2-04,ANN.MIL.POLL,2,"OH-11 — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.",Vague or disorganized; lacks key details; missing evidence/CTA; tone drifts or includes minor contradictions.
ANN.MIL.POLL-2-05,ANN.MIL.POLL,2,"CLEVELAND — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.",Vague or disorganized; lacks key details; missing evidence/CTA; tone drifts or includes minor contradictions.
ANN.MIL.POLL-1-01,ANN.MIL.POLL,1,"CLEVELAND — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.",Poor quality; misleading or unsupported claims; significant errors; missing core info.
ANN.MIL.POLL-1-02,ANN.MIL.POLL,1,"OH-11 — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.",Poor quality; misleading or unsupported claims; significant errors; missing core info.
ANN.MIL.POLL-1-03,ANN.MIL.POLL,1,"CLEVELAND — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.",Poor quality; misleading or unsupported claims; significant errors; missing core info.
ANN.MIL.POLL-1-04,ANN.MIL.POLL,1,"CLEVELAND — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.",Poor quality; misleading or unsupported claims; significant errors; missing core info.
ANN.MIL.POLL-1-05,ANN.MIL.POLL,1,"CLEVELAND — A new independent survey shows Jane Smith leading 48–44 among likely voters (n=712, MOE±3.",Poor quality; misleading or unsupported claims; significant errors; missing core info.
ANN.NAR.POLICY-5-01,ANN.NAR.POLICY,5,"CLEVELAND — Today Jane Smith outlined the Building the Middle Class plan—apprenticeships, childcare tax relief, and infrastructure jobs.

The plan is fully paid for by closing loopholes for multinational corporations.","Clear, specific, well-structured; evidence and CTA included; neutral but persuasive tone; error-free; dates/locations precise."
ANN.NAR.POLICY-5-02,ANN.NAR.POLICY,5,"CLEVELAND — Today Jane Smith outlined the Building the Middle Class plan—apprenticeships, childcare tax relief, and infrastructure jobs.

The plan is fully paid for by closing loopholes for multinational corporations.","Clear, specific, well-structured; evidence and CTA included; neutral but persuasive tone; error-free; dates/locations precise."
ANN.NAR.POLICY-5-03,ANN.NAR.POLICY,5,"CLEVELAND — Today Jane Smith outlined the Building the Middle Class plan—apprenticeships, childcare tax relief, and infrastructure jobs.

The plan is fully paid for by closing loopholes for multinational corporations.","Clear, specific, well-structured; evidence and CTA included; neutral but persuasive tone; error-free; dates/locations precise."
ANN.NAR.POLICY-5-04,ANN.NAR.POLICY,5,"CLEVELAND — Today Jane Smith outlined the Building the Middle Class plan—apprenticeships, childcare tax relief, and infrastructure jobs.

The plan is fully paid for by closing loopholes for multinational corporations.","Clear, specific, well-structured; evidence and CTA included; neutral but persuasive tone; error-free; dates/locations precise."
ANN.NAR.POLICY-5-05,ANN.NAR.POLICY,5,"CLEVELAND — Today Jane Smith outlined the Building the Middle Class plan—apprenticeships, childcare tax relief, and infrastructure jobs.

The plan is fully paid for by closing loopholes for multinational corporations.","Clear, specific, well-structured; evidence and CTA included; neutral but persuasive tone; error-free; dates/locations precise."
ANN.NAR.POLICY-4-01,ANN.NAR.POLICY,4,"CLEVELAND — Today Jane Smith outlined the Building the Middle Class plan—apprenticeships, childcare tax relief, and infrastructure jobs.

The plan is fully paid for by closing loopholes for multinational corporations.",Strong with minor omissions or slight verbosity; evidence present; minor copy edits needed.
ANN.NAR.POLICY-4-02,ANN.NAR.POLICY,4,"OH-11 — Today Jane Smith outlined the Building the Middle Class plan—apprenticeships, childcare tax relief, and infrastructure jobs.

The plan is fully paid for by closing loopholes for multinational corporations.",Strong with minor omissions or slight verbosity; evidence present; minor copy edits needed.
ANN.NAR.POLICY-4-03,ANN.NAR.POLICY,4,"CLEVELAND — Today Jane Smith outlined the Building the Middle Class plan—apprenticeships, childcare tax relief, and infrastructure jobs.

The plan is fully paid for by closing loopholes for multinational corporations.",Strong with minor omissions or slight verbosity; evidence present; minor copy edits needed.
ANN.NAR.POLICY-4-04,ANN.NAR.POLICY,4,"OH-11 — Today Jane Smith outlined the Building the Middle Class plan—apprenticeships, childcare tax relief, and infrastructure jobs.

The plan is fully paid for by closing loopholes for multinational corporations.",Strong with minor omissions or slight verbosity; evidence present; minor copy edits needed.
ANN.NAR.POLICY-4-05,ANN.NAR.POLICY,4,"OH-11 — Today Jane Smith outlined the Building the Middle Class plan—apprenticeships, childcare tax relief, and infrastructure jobs.

The plan is fully paid for by closing loopholes for multinational corporations.",Strong with minor omissions or slight verbosity; evidence present; minor copy edits needed.
ANN.NAR.POLICY-3-01,ANN.NAR.POLICY,3,"CLEVELAND — Today Jane Smith outlined the Building the Middle Class plan—apprenticeships, childcare tax relief, and infrastructure jobs.",Adequate but generic; some specifics missing; CTA/evidence may be weak or one is missing.
ANN.NAR.POLICY-3-02,ANN.NAR.POLICY,3,"CLEVELAND — Today Jane Smith outlined the Building the Middle Class plan—apprenticeships, childcare tax relief, and infrastructure jobs.",Adequate but generic; some specifics missing; CTA/evidence may be weak or one is missing.
ANN.NAR.POLICY-3-03,ANN.NAR.POLICY,3,"CLEVELAND — Today Jane Smith outlined the Building the Middle Class plan—apprenticeships, childcare tax relief, and infrastructure jobs.",Adequate but generic; some specifics missing; CTA/evidence may be weak or one is missing.
ANN.NAR.POLICY-3-04,ANN.NAR.POLICY,3,"CLEVELAND — Today Jane Smith outlined the Building the Middle Class plan—apprenticeships, childcare tax relief, and infrastructure jobs.

The plan is fully paid for by closing loopholes for multinational corporations.",Adequate but generic; some specifics missing; CTA/evidence may be weak or one is missing.
